Callsign,Lat,Lon,Type,Comment,Override,Power_W,Height_ft,Gain_dBd,Dir_deg
UTAH,37.156,-113.883333,digi,"Utah Hill 7,697ft W7ZDL",N,,,,
SANDFL,38.570333,-109.528,digi,Sand Flats near Moab,N,,,,
ABAJO,37.84,-109.461167,digi,"Abajo Peak 11,360ft SE Utah",N,,,,
BALD,38.528667,-109.324667,digi,"Bald Mountain 11,943ft Uintas",N,16,2560,3,
SCOTTS,40.62277,-111.56863,digi,Scott's Hill UARC/SLC,N,,,,
FARNSWT,40.7717,-112.1972,digi,"Farnsworth Peak 9,052ft WB7EED",N,,,,
ENSIGN,40.7913,-111.8994,digi,Ensign Peak SLC N7IVU,N,,,,
CEDAR,37.6906,-113.0789,digi,Cedar Mountain,N,,,,
BUCKSKN,37.9081,-110.59,digi,Buckskin Mesa SE Utah,N,,,,
BLOW,37.591833,-112.866,digi,"Blowhard Mtn 10,000ft K7RB Cedar City area",N,,,,
BLOWH,37.7408,-113.0117,digi,"Blowhard Mtn 10,000ft K7RB (alternate callsign)",N,,,,
BOULDR,37.955,-111.46,digi,"Boulder Mountain ~11,000ft Wayne County",N,,,,
GOOSBN,37.24,-113.3,digi,Gooseberry Mesa Washington County,N,,,,
MILFOR,38.43,-113.01,digi,Milford Flat Beaver County,N,,,,
BRYCE,37.6431,-112.1669,digi,Bryce Canyon area,N,,,,
MONTIC,37.8717,-109.3411,digi,Monticello San Juan County,N,,,,
PRICE,39.5986,-110.8106,digi,Price Carbon County,N,,,,
ELBW,38.39,-109.97,digi,Elbow digi SE Utah — verify on aprs.fi,N,,,,
W7ZDL-3,37.5617,-113.8108,digi,Utah Hill (co-located with UTAH),N,,,,
WB7EED-3,41.7281,-111.8369,digi,"Logan Peak 9,710ft Cache County",N,,,,
N0NHJ-3,38.568,-109.5113,digi,Sand Flats / Moab (co-located with SANDFL),N,,,,
K7RB-3,37.7408,-113.0117,digi,Blowhard Mountain (co-located with BLOW),N,,,,
W7YDD-3,40.7717,-112.1972,digi,Farnsworth Peak linked digi,N,,,,
K7UDM-3,40.665,-110.9017,digi,Bald Mountain linked digi,N,,,,
N7IVU-3,40.7913,-111.8994,digi,Ensign Peak linked digi,N,,,,
W7ZDL-7,37.5617,-113.8108,igate,Utah Hill igate (co-located with UTAH / W7ZDL-3),N,,,,
WB7EED-7,41.7281,-111.8369,igate,Logan Peak igate (co-located with WB7EED-3),N,,,,
